epoch,acc,loss,val_acc,val_loss
0,0.5359520287404903,1.9684833813701155,0.3956614847715736,2.788930947405433
1,0.6929286790143592,1.2823229930656825,0.658421345215439,1.4194521484633997
2,0.7449990751356296,1.055777211684214,0.7526006511364711,1.0138413866149567
3,0.7793911687904352,0.9160694612419839,0.7165488763835482,1.1905551792412254
4,0.80462701159426,0.810519014270998,0.7741602477756229,0.9359634021973199
5,0.8288322807419921,0.7176886434406117,0.7575637258652573,1.0199831927124638
6,0.8462595460316792,0.6471315971628713,0.7530374017500531,1.0507312514107383
7,0.8611632270105853,0.5848623730555884,0.7618915270198985,1.0116653688128319
8,0.8747192347377009,0.5321688340021025,0.7833717144587321,0.9472173466718785
9,0.8864254947996189,0.48871179458073927,0.7489081235465088,1.1254663328347077
10,0.9028618238653501,0.4309682909118617,0.7792424362504548,0.9800636328820115
11,0.9097191026097192,0.4031982074198302,0.7992932581734943,0.8886928273034912
12,0.9188225035139085,0.36828085471040034,0.7344159453948724,1.2026966305861242
13,0.929207515260418,0.3347899685720496,0.8013976018138944,0.8908796691349271
14,0.936580080863547,0.30666797060236045,0.8114825696957686,0.8547802491041511
15,0.9435562719767786,0.280932059135056,0.786468673048676,0.9920252373473559
16,0.9499907512633672,0.2572790943341109,0.7894862225187655,0.9653953469927029
17,0.955302169491309,0.23700967668192308,0.8175573731201443,0.840855534826612
18,0.9619084110573256,0.21418395993049177,0.800682919091496,0.9496376118837562
19,0.962595460182913,0.20846196198329245,0.8162074168378003,0.8581929759112891
20,0.9686467774753588,0.18778774288666286,0.8114031605001838,0.8848354889422047
21,0.9700737256559998,0.17951803943788805,0.8075915190742458,0.8803701040279607
22,0.9739185582648636,0.16402404715879218,0.8029460811325321,0.9060697262086265
23,0.9771159791676762,0.15214492735832366,0.8107281822998473,0.8510032598487456
24,0.9792564014591135,0.1434295460740466,0.8318907329563415,0.7766096841576158
25,0.9812118489454423,0.13308932703715173,0.8234336536265552,0.8057224100514363
26,0.9844885447676551,0.12202169154236754,0.8364170570668127,0.7545558489941343
27,0.9864836297333721,0.11269863088452639,0.8334392122418471,0.7659247165580876
28,0.9856248183283566,0.11319386273436657,0.8244659731360261,0.8149722984148948
29,0.987553840870428,0.10708347823457738,0.8268482490414368,0.7910679017996699
30,0.9880030652866414,0.1017851934789449,0.8351862145731128,0.7454769887349021
31,0.9889675765663398,0.096846523355246,0.8366155800510416,0.7526161508100875
32,0.9897074756229686,0.09511206252346602,0.8432462479202417,0.7186458571534818
33,0.9894696509167448,0.09274022260379222,0.8262526800698173,0.7932422648901445
34,0.9907776867489991,0.08734667768653036,0.8420551099959354,0.7133359545172515
35,0.9917025605792352,0.08195101663899863,0.8311363456077518,0.7608735255040935
36,0.9924820970853262,0.07864149785442974,0.845271182365057,0.7027934182890545
